Latitude,Longitude,Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value
34.104572,-118.244186,3026 N North Coolidge Ave,Single Family Residence,"2 beds, 4 baths","1,678 sqft","5,499 sqft",2020,5442022038,1110750532,Los Angeles,5485,1,187200,3,"
Zoning:

LACM
		",09/16/2020,"$830,000","$850,000"
34.082283,-118.182022,4750 Templeton St # 1222,Condominium,"2 beds, 3 baths","1,340 sqft",0.65 acres,1995,5213032063,1110753892,Los Angeles,50665,1,201401,1,"
Zoning:

LAR3
		",09/16/2020,"$469,000","$456,000"
34.105105,-118.313404,1860 N Wilton Pl,"Duplex (2 units, any combination)","6 beds, 2 baths","3,044 sqft","4,913 sqft",1920,5544002042,1110722585,Los Angeles,MORGANS HOLLYWOOD TR,2,190301,28,"
Zoning:

LARD1.5
		",09/16/2020,"$1,075,000","$1,343,000"
34.156609,-118.444993,4719 Tyrone Ave,Single Family Residence,"3 beds, 2 baths","1,754 sqft","8,859 sqft",1955,2248002015,1110723353,Los Angeles,8294,3,128702,16,"
Zoning:

LAR1
		",09/16/2020,"$1,222,500","$1,213,000"
34.188729,-118.560529,19608 Hamlin St,Single Family Residence,"3 beds, 2 baths","1,377 sqft","6,616 sqft",1956,2132012023,1110723369,Los Angeles,20652,1,134901,77,"
Zoning:

LAR1
		",09/16/2020,"$715,000","$629,000"
33.939722,-118.029544,10241 Victoria Ave,Single Family Residence,"4 beds, 2 baths","1,676 sqft","7,933 sqft",1950,8156019001,1110725154,Los Angeles,15017,1,503202,22,"
Zoning:

LCR1*
		",09/16/2020,"$661,000","$624,000"
33.974862,-118.303477,1531 W Florence Ave,"Warehouse, Storage",Built in,"2,490 sqft","3,212 sqft",1980,6015034023,1110726496,Los Angeles,4580,3,237402,288,"
Legal:

				Free With Trial
",09/16/2020,"$540,000",
33.945856,-118.218031,3020 Nebraska Ave,"Duplex (2 units, any combination)","2 beds, 2 baths","1,908 sqft","5,035 sqft",1948,6206011012,1110727008,Los Angeles,4753,2,535605,111,"
Zoning:

SGCM-R4*
		",09/16/2020,"$1,775,000","$572,000"
34.626538,-118.318747,10620 Elizabeth Lake Rd,Single Family Residence,"5 beds, 7 baths","5,624 sqft",9.17 acres,2005,3215004023,1110727057,Los Angeles,1,901213,,,,09/16/2020,"$1,050,000",
34.159767,-118.01154,426 Highland Pl,Single Family Residence,"3 beds, 2 baths","1,282 sqft","6,057 sqft",1930,8503017025,1110727063,Los Angeles,8569,3,430301,15,"
Zoning:

MORF*
		",07/18/2006,,"$938,000"
34.555313,-118.083213,2554 Olive Dr # 36,Condominium,"2 beds, 2 baths",853 sqft,1.66 acres,1986,3053051419,1110727331,Los Angeles,44050,2,910715,2,"
Zoning:

PDRPD15U*
		",09/16/2020,"$177,000","$180,000"
34.4808,-117.8097,Vac/vic 183 Ste/ave Z4,Residential - Vacant Land,Los Angeles,2.27 acres,,1110727390,,2,,10,,,,,09/16/2020,"$8,000",
34.169116,-118.627437,5426 Royer Ave,Single Family Residence,"4 beds, 3 baths","3,562 sqft","5,396 sqft",1953,2042008047,1110727395,Los Angeles,9545,1,137000,35,"
Zoning:

LAR1
		",09/16/2020,"$952,500","$1,150,000"
34.610614,-118.193063,3525 Parkmeadow Ct,Single Family Residence,"4 beds, 3 baths","3,054 sqft","6,821 sqft",2000,3001113026,1110727826,Los Angeles,52848,1,910210,26,"
Zoning:

PDSP
		",09/16/2020,"$605,000","$561,000"
34.03414,-118.49509,631 15th St,Single Family Residence,"2 beds, 2 baths","1,715 sqft","7,499 sqft",1939,4279026017,1110727887,Los Angeles,5119,5,701201,18,"
Zoning:

SMR1*
		",09/16/2020,"$3,275,000","$2,533,000"
34.042582,-118.294062,1704 S Catalina St,Single Family Residence,"2 beds, 1 bath",910 sqft,"4,723 sqft",1901,5075020030,1110728284,Los Angeles,ROSS & DIXONS TR,2,221220,75,"
Zoning:

LARD1.5
		",09/16/2020,"$725,000","$559,000"
34.262795,-118.307656,10646 Rhodesia Ave,Single Family Residence,"2 beds, 1 bath",840 sqft,"4,480 sqft",1939,2556017003,1110728659,Los Angeles,6443,4,103102,273,"
Zoning:

LAR1
		",09/16/2020,"$565,000","$538,000"
33.785712,-118.163027,1468 Junipero Ave,Single Family Residence,"3 beds, 1 bath",883 sqft,"4,571 sqft",1922,7260016001,1110729229,Los Angeles,1577,1,575102,50,"
Zoning:

LBR2N
		",09/16/2020,"$470,000","$483,000"
34.264144,-118.460913,15100 Chatsworth St # B,Condominium,"2 beds, 3 baths","1,300 sqft",2.91 acres,1980,2649004037,1110729690,Los Angeles,35827,3,109604,,"
Legal:

				Free With Trial
",09/16/2020,"$415,000","$362,000"
34.031331,-118.4863,1802 California Ave,Condominium,"2 beds, 3 baths","1,671 sqft","8,007 sqft",1980,4276009040,1110729997,Los Angeles,36676,1,701501,,"
Legal:

				Free With Trial
",09/16/2020,"$1,580,000","$1,418,000"
34.19718,-118.585114,20728 Hart St,Single Family Residence,"4 beds, 3 baths","1,627 sqft","7,569 sqft",1954,2137024002,1110730046,Los Angeles,14756,1,134002,108,"
Zoning:

LARS
		",09/16/2020,"$515,000","$657,000"
33.962416,-118.435271,7912 W 79th St,Single Family Residence,"3 beds, 3 baths","2,527 sqft","5,002 sqft",1963,4115029019,1110730059,Los Angeles,9809,1,276601,3,"
Zoning:

LAR1
		",09/16/2020,"$1,910,000","$1,875,000"
33.855916,-118.143801,5439 Pimenta Ave,Single Family Residence,"2 beds, 1 bath",810 sqft,"5,152 sqft",1950,7159017010,1110730549,Los Angeles,14592,1,570701,377,"
Zoning:

LKR1YY
		",09/16/2020,"$615,000","$592,000"
34.611034,-118.185088,40106 Castana Ln,Single Family Residence,"3 beds, 2 baths","2,019 sqft","7,715 sqft",1991,3001074023,1110731287,Los Angeles,46784,1,910210,58,"
Zoning:

LCA210-A22*
		",09/16/2020,"$465,000","$448,000"
34.046803,-118.350104,1445 S Redondo Blvd,Single Family Residence,"3 beds, 2 baths","1,437 sqft","6,359 sqft",1925,5070015038,1110732332,Los Angeles,1740,2,217100,37,"
Zoning:

LARD1.5
		",09/16/2020,"$950,000","$998,000"
34.192614,-118.362547,6716 Clybourn Ave # 122,Condominium,"2 beds, 1 bath",903 sqft,5.65 acres,1982,2412031106,1110733607,Los Angeles,37718,1,123103,2,"
Zoning:

LARD1.5
		",09/16/2020,"$413,000","$320,000"
33.987773,-118.296018,1201 W 59th St,Single Family Residence,"3 beds, 1 bath","1,667 sqft","4,922 sqft",1912,6003007016,1110734023,Los Angeles,1266,1,237201,121,"
Zoning:

LAR2
		",09/16/2020,"$645,000","$442,000"
33.833614,-118.343888,3305 Onrado St,Single Family Residence,"3 beds, 2 baths","1,333 sqft","5,760 sqft",1955,7362005021,1110734477,Los Angeles,18747,3,650401,143,"
Zoning:

TORR-LO
		",09/16/2020,"$835,000","$891,000"
33.832942,-118.360141,21517 Ladeene Ave,Single Family Residence,"6 beds, 2 baths","1,560 sqft","5,401 sqft",1956,7525019015,1110734503,Los Angeles,21676,2,650701,369,"
Zoning:

TORR-LO
		",09/16/2020,"$1,030,000","$1,040,000"
34.17727,-118.458866,5851 Saloma Ave,Single Family Residence,"3 beds, 2 baths","1,274 sqft","6,752 sqft",1950,2243015023,1110734945,Los Angeles,16379,3,128400,71,"
Zoning:

LAR1
		",09/16/2020,"$775,000","$818,000"
33.949375,-118.202627,9317 San Juan Ave,Single Family Residence,"2 beds, 1 bath",897 sqft,"4,839 sqft",1941,6203002030,1110735308,Los Angeles,5280,1,535804,963,"
Zoning:

SGR3YY
		",09/16/2020,"$420,000","$405,000"
34.030584,-118.307492,2706 S Hobart Blvd,Single Family Residence,"5 beds, 3 baths","2,275 sqft","6,650 sqft",1905,5053013002,1110735814,Los Angeles,HALL CHAS VICTOR TR,2,222200,2,"
Zoning:

LAR1
		",09/16/2020,"$750,000","$854,000"
34.072026,-118.306339,158 S Serrano Ave,Single Family Residence,"3 beds, 2 baths","1,875 sqft","8,026 sqft",1908,5517012012,1110736597,Los Angeles,HOLMES-WALTON COS WESTMINSTER,2,211410,12,"
Zoning:

LAR1
		",09/16/2020,"$1,150,000","$1,146,000"
34.092444,-118.28586,1155 N Commonwealth Ave,Single Family Residence,"1 bed, 2 baths",696 sqft,"6,250 sqft",1911,5542025025,1110736659,Los Angeles,CITY BOUNDARY TR,2,191301,24,"
Zoning:

LAR2
		",09/16/2020,"$1,039,000","$848,000"
34.150818,-118.424103,13331 Moorpark St # 126,Condominium,"2 beds, 2 baths","1,346 sqft",1.16 acres,1982,2360013031,1110737040,Los Angeles,32058,1,141101,1,"
Zoning:

LAR3
		",09/16/2020,"$560,000","$561,000"
34.162826,-118.301395,312 Thompson Ave # 105,Condominium,"2 beds, 3 baths","1,138 sqft","7,909 sqft",1989,5625006032,1110737080,Los Angeles,46366,1,301602,1,"
Zoning:

GLR3YY
		",09/16/2020,"$572,000","$541,000"
34.092707,-118.371864,1233 N Flores St # 103,Condominium,"2 beds, 2 baths","1,054 sqft","9,059 sqft",1967,5554025154,1110737540,Los Angeles,37594,1,700300,1,"
Zoning:

WDR4*
		",09/16/2020,"$669,000","$689,000"
34.149402,-118.013936,221 Violet Ave # A,Condominium,"3 beds, 3 baths","1,138 sqft","8,025 sqft",1994,8505021050,1110737559,Los Angeles,51206,4,431001,2,"
Zoning:

MORH*
		",09/16/2020,"$565,000","$501,000"
34.17099,-118.137966,616 E Ladera St,Single Family Residence,"3 beds, 3 baths","1,632 sqft","5,196 sqft",1989,5838037010,1110737966,Los Angeles,THORNTON & MORSE TR,2,461501,34,"
Zoning:

PSR6
		",09/16/2020,"$800,000","$758,000"
34.262437,-118.337957,9442 Hillrose St,Single Family Residence,"1 bed, 1 bath",550 sqft,0.63 acres,1947,2549014001,1110738462,Los Angeles,5776,2,103300,29,"
Zoning:

LARE40
		",09/16/2020,"$660,000","$607,000"
34.029521,-117.916612,703 Ashcomb Dr,Single Family Residence,"4 beds, 2 baths","1,181 sqft","6,847 sqft",1957,8248031008,1110738892,Los Angeles,20443,3,407801,31,"
Zoning:

LCA106
		",09/16/2020,"$589,000","$580,000"
33.782158,-118.37811,26815 Basswood Ave,Single Family Residence,"3 beds, 2 baths","1,538 sqft","8,401 sqft",1957,7578006002,1110739742,Los Angeles,21351,1,670411,2,"
Zoning:

RPRS8000*
		",09/16/2020,"$1,230,000","$1,157,000"
33.919344,-118.092394,12209 Longworth Ave,Single Family Residence,"3 beds, 1 bath","1,056 sqft","5,524 sqft",1952,8022032011,1110741073,Los Angeles,16362,1,550202,59,"
Zoning:

NOR105
		",09/16/2020,"$465,000","$468,000"
34.168623,-118.633132,23225 Mariano St,Single Family Residence,"3 beds, 2 baths","1,436 sqft","11,270 sqft",1955,2044002054,1110741498,Los Angeles,9545,1,137000,78,"
Zoning:

LARS
		",09/16/2020,"$875,000","$851,000"
34.147791,-118.23794,1238 E Wilson Ave # 205,Condominium,"3 beds, 3 baths","1,295 sqft","8,952 sqft",1991,5645028027,1110741520,Los Angeles,48690,1,302004,1,"
Zoning:

GLR4YY
		",09/16/2020,"$585,000","$542,000"
33.838778,-118.109104,4439 Conquista Ave,Single Family Residence,"4 beds, 2 baths","1,620 sqft","5,200 sqft",1950,7177016008,1110741557,Los Angeles,16394,1,571102,66,"
Zoning:

LKR1YY
		",09/16/2020,"$765,000","$726,000"
34.24143,-118.488838,16341 Vincennes St,Single Family Residence,"4 beds, 2 baths","1,344 sqft","7,751 sqft",1956,2676009008,1110741570,Los Angeles,21854,2,117301,8,"
Zoning:

LARS
		",09/16/2020,"$610,000","$641,000"
34.048768,-118.389272,1724 S Canfield Ave,Single Family Residence,"4 beds, 3 baths","1,844 sqft","5,994 sqft",1932,4305024008,1110741600,Los Angeles,6659,1,217001,9,"
Zoning:

LAR1
		",09/16/2020,"$2,319,000","$1,940,000"
34.155634,-118.101337,2385 Monte Vista St,Single Family Residence,"3 beds, 2 baths","2,084 sqft","8,400 sqft",1942,5744017009,1110742414,Los Angeles,11200,1,462800,24,"
Zoning:

PSR6
		",09/16/2020,"$1,199,000","$835,000"
33.868699,-118.378731,1902 Grant Ave # 2,Condominium,"3 beds, 3 baths","1,471 sqft","7,526 sqft",1977,4156019048,1110745547,Los Angeles,REDONDO VILLA TR,2,620701,,"
Legal:

				Free With Trial
",09/16/2020,"$860,000","$817,000"
33.986422,-118.352779,4427 W 59th Pl,Single Family Residence,"2 beds, 2 baths","1,528 sqft","6,431 sqft",1947,4019010006,1110745933,Los Angeles,9344,6,703100,133,"
Zoning:

LCR1YY
		",09/16/2020,"$950,000","$1,065,000"
34.158821,-118.353238,4835 Forman Ave,Single Family Residence,"3 beds, 2 baths","1,513 sqft","5,628 sqft",1940,2420016021,1110748153,Los Angeles,9622,2,125600,27,"
Zoning:

LAR1
		",09/16/2020,"$1,225,000","$1,071,000"
34.015324,-117.988756,1322 Silver Maple Dr,Single Family Residence,"4 beds, 3 baths","2,727 sqft","13,841 sqft",1986,8220012036,1110751095,Los Angeles,1953,1,408402,59,"
Zoning:

LCRA1L
		",09/16/2020,"$835,000","$792,000"
33.944212,-118.043227,13509 Close St,Single Family Residence,"3 beds, 2 baths","2,090 sqft","6,826 sqft",1953,8158026013,1110751162,Los Angeles,17178,2,502901,44,"
Zoning:

LCRA06
		",09/16/2020,"$510,000","$643,000"
34.058922,-118.437965,10762 Ashton Ave,Single Family Residence,"3 beds, 2 baths","1,947 sqft","6,506 sqft",1929,4325003003,1110751201,Los Angeles,7803,2,265602,3,"
Zoning:

LAR1
		",,,"$2,077,000"
34.444965,-118.473964,19315 Opal Ln,Condominium,"3 beds, 3 baths","1,710 sqft",2.67 acres,2005,2812082065,1110752078,Los Angeles,46018-04,1,920028,2,"
Zoning:

LCA21*
		",09/16/2020,"$487,500","$472,000"
34.256304,-118.289433,7225 Apperson St # 106,Condominium,"3 beds, 3 baths","1,360 sqft",0.68 acres,2007,2565009107,1110753442,Los Angeles,60362,1,101110,1,"
Zoning:

LARD2
		",09/16/2020,"$450,000","$514,000"
34.247976,-118.287573,7144 Foothill Blvd,MISCELLANEOUS   (Commercial),Built in,"2,779 sqft","2,686 sqft",1940,2564001005,1110754247,Los Angeles,9944,3,101400,23,"
Legal:

				Free With Trial
",09/16/2020,"$700,000",
34.094842,-117.735078,2720 Crimson Way,Condominium,"3 beds, 4 baths","1,070 sqft",0.57 acres,2017,8313028040,1110722482,Los Angeles,3,401704,1,,"
Legal:

				Free With Trial
",09/16/2020,"$413,000","$429,000"
34.166937,-118.596388,21317 Costanso St,Apartment house (5+ units),"7 beds, 6 baths","4,309 sqft","6,251 sqft",1961,2167002034,1110723228,Los Angeles,6170,1,137502,2304,"
Zoning:

LAR2
		",09/16/2020,"$1,350,000","$816,000"
33.920302,-118.27595,159 W 124th St,Single Family Residence,"4 beds, 1 bath","1,314 sqft","5,910 sqft",1948,6132031007,1110723603,Los Angeles,14076,3,540901,36,"
Zoning:

LCR1*
		",09/16/2020,"$425,000","$517,000"
33.921313,-118.199657,3861 Fernwood Ave,Single Family Residence,"2 beds, 2 baths",892 sqft,"3,558 sqft",1947,6187026001,1110723646,Los Angeles,10503,2,540102,129,"
Zoning:

LYR1YY
		",09/16/2020,"$485,000","$434,000"
33.822803,-118.307711,1637 Plaza Del Amo,"Duplex (2 units, any combination)","2 beds, 2 baths","1,576 sqft","5,006 sqft",1958,7347008025,1110723664,Los Angeles,4529,2,293202,347,"
Zoning:

LARD2
		",09/16/2020,"$880,000","$696,000"
34.131859,-118.356458,3856 Broadlawn Dr,Single Family Residence,"3 beds, 2 baths","1,889 sqft","7,427 sqft",1926,2425023009,1110723673,Los Angeles,7530,1,143700,9,"
Zoning:

LAR1
		",09/16/2020,"$1,500,000","$1,433,000"
34.166898,-118.409883,12715 Weddington St,Single Family Residence,"3 beds, 3 baths","1,976 sqft","8,355 sqft",1953,2346021006,1110723973,Los Angeles,1000,1,124000,134,"
Zoning:

LAR1
		",09/16/2020,"$1,196,500","$1,010,000"
34.008971,-118.08713,4620 Pra Dr,Single Family Residence,"4 beds, 2 baths","1,546 sqft","6,538 sqft",1973,6373016012,1110724587,Los Angeles,30515,5,500600,4,"
Zoning:

PRSF*
		",08/23/2002,"$265,000","$609,000"
34.125619,-118.102483,2495 Coniston Pl,Single Family Residence,"3 beds, 4 baths","3,106 sqft","8,679 sqft",1931,5331025001,1110724957,Los Angeles,7758,6,464200,181,"
Zoning:

SOR112000*
		",09/16/2020,"$2,180,000","$2,231,000"
33.99997,-118.387047,10630 Flaxton St,Single Family Residence,"3 beds, 2 baths","1,918 sqft","9,176 sqft",1954,4203007055,1110725012,Los Angeles,18215,1,702600,16,"
Zoning:

CCR1AY
		",09/16/2020,"$1,500,000","$1,610,000"
34.04985,-118.413796,2340 Fox Hills Dr # 305,Condominium,"3 beds, 3 baths","1,802 sqft","17,552 sqft",2003,4315015141,1110725043,Los Angeles,53793,3,267902,1,"
Zoning:

LAR3
		",09/16/2020,"$4,500,000","$1,127,000"
34.053353,-118.427267,1838 Westholme Ave # 203,Condominium,"3 beds, 3 baths","1,646 sqft","14,654 sqft",2004,4317004107,1110725351,Los Angeles,26534,1,267100,1,"
Zoning:

LAR3
		",09/16/2020,"$1,110,000","$1,148,000"
34.048508,-118.05045,1709 Strozier Ave,Single Family Residence,"3 beds, 1 bath",958 sqft,"6,691 sqft",1954,8116002002,1110725371,Los Angeles,19762,1,433700,2,"
Zoning:

SER1*
		",09/16/2020,"$530,000","$505,000"
