Latitude,Longitude,Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value,url,zoning
34.092821,-118.367026,1234 Havenhurst Dr # 8,Condominium,"2 beds, 2 baths","1,007 sqft","14,919 sqft",1955.0,5554009036,1110736720,Los Angeles,37062,5.0,700200.0,1,WDR4*,09/16/2020,"$662,000","$777,000",https://www.realtytrac.com/property/ca/west-hollywood/90046/1234-havenhurst-dr-8/52170356/,WDR4*
34.4373,-118.5154,27629 Solana Way,Condominium,"4 beds, 4 baths","3,516 sqft",0.76 acres,2017.0,2801028091,1110736725,Los Angeles,,1.0,920028.0,1,SCUR3,09/16/2020,"$760,000","$757,000",https://www.realtytrac.com/property/ca/santa-clarita/91350/27629-solana-way/323430688/,SCUR3
34.172798,-118.60099699999999,21620 Burbank Blvd # 10,Condominium,"3 beds, 3 baths","1,595 sqft",2.74 acres,1981.0,2146007035,1110738650,Los Angeles,38707,1.0,137103.0,,LAWC,09/16/2020,"$580,000","$575,000",https://www.realtytrac.com/property/ca/woodland-hls/91367/21620-burbank-blvd-10/7102759/,LAWC
34.574381,-118.037508,38058 Lido Dr,Single Family Residence,"4 beds, 3 baths","1,979 sqft","7,036 sqft",1989.0,3023054044,1110738665,Los Angeles,45073,1.0,910713.0,45,PDA2*,09/16/2020,"$350,000","$334,000",https://www.realtytrac.com/property/ca/palmdale/93552/38058-lido-dr/16671462/,PDA2*
34.139302,-117.998731,150 E Cypress Ave,Single Family Residence,"4 beds, 3 baths","2,082 sqft","8,555 sqft",1948.0,8508012036,1110739957,Los Angeles,6697,3.0,431100.0,20,MORL*,02/28/2018,"$662,000","$812,000",https://www.realtytrac.com/property/ca/monrovia/91016/150-e-cypress-ave/34821766/,MORL*
33.870331,-118.176778,1221 E Poinsettia St,Single Family Residence,"2 beds, 1 bath","1,076 sqft","5,047 sqft",1929.0,7114023002,1110868248,Los Angeles,7261,3.0,570501.0,130,LBR1N,09/21/2020,"$515,000","$509,000",https://www.realtytrac.com/property/ca/long-beach/90805/1221-e-poinsettia-st/24866478/,LBR1N
34.031621,-118.71584299999999,24818 Malibu Rd,Single Family Residence,"3 beds, 4 baths","2,810 sqft","6,934 sqft",1990.0,4458013010,1110740721,Los Angeles,13157,1.0,800410.0,73,LCR1*,09/16/2020,"$7,800,000","$2,627,000",https://www.realtytrac.com/property/ca/malibu/90265/24818-malibu-rd/30086624/,LCR1*
34.175688,-118.222974,1865 Verdugo Knolls Dr,Single Family Residence,"4 beds, 3 baths","2,278 sqft","9,837 sqft",1924.0,5652019019,1110740748,Los Angeles,4873,1.0,300800.0,16,GLR1*,09/16/2020,"$1,194,000","$1,210,000",https://www.realtytrac.com/property/ca/glendale/91208/1865-verdugo-knolls-dr/154641851/,GLR1*
34.064384000000004,-118.312069,533 S St Andrews Pl # 301,Condominium,"2 beds, 2 baths",996 sqft,0.78 acres,1987.0,5504029063,1110742049,Los Angeles,50428,2.0,211704.0,1,LAR4,09/16/2020,"$490,000","$557,000",https://www.realtytrac.com/property/ca/los-angeles/90020/533-s-st-andrews-pl-301/141970103/,LAR4
33.880426,-118.156756,3051 E 69th St,Single Family Residence,"4 beds, 3 baths","1,770 sqft","6,167 sqft",1957.0,7113012030,1110743915,Los Angeles,22719,1.0,570203.0,16,LBR1N,09/16/2020,"$485,000","$574,000",https://www.realtytrac.com/property/ca/long-beach/90805/3051-e-69th-st/53149704/,LBR1N
34.073875,-118.50605800000001,13540 Bayliss Rd,Single Family Residence,"3 beds, 3 baths","2,613 sqft","13,992 sqft",1964.0,4492016013,1110743978,Los Angeles,23094,2.0,262400.0,26,LARE15,09/16/2020,"$2,750,000","$2,401,000",https://www.realtytrac.com/property/ca/los-angeles/90049/13540-bayliss-rd/28393642/,LARE15
34.163508,-118.526494,5153 Hesperia Ave,Single Family Residence,"3 beds, 2 baths","1,431 sqft","6,504 sqft",1948.0,2181003019,1110744652,Los Angeles,15126,2.0,139502.0,40,LAR1,09/16/2020,"$880,000","$836,000",https://www.realtytrac.com/property/ca/encino/91316/5153-hesperia-ave/25225582/,LAR1
33.780221000000004,-118.15320200000001,1066 Coronado Ave,Apartment house (5+ units),"16 beds, 16 baths","7,208 sqft","6,250 sqft",1986.0,7258006007,1110744715,Los Angeles,HARPER TR,1.0,576903.0,7,LBR2N,09/16/2020,"$2,405,000","$848,000",https://www.realtytrac.com/property/ca/long-beach/90804/1066-coronado-ave/43792862/,LBR2N
33.931443,-118.26678899999999,440 E Lanzit Ave,Single Family Residence,"4 beds, 1 bath",722 sqft,"3,290 sqft",1924.0,6073028004,1110779079,Los Angeles,3598,3.0,240900.0,19,LAR4,09/17/2020,"$296,500","$371,000",https://www.realtytrac.com/property/ca/los-angeles/90061/440-e-lanzit-ave/16675635/,LAR4
34.085357,-118.223401,2612 Jeffries Ave,"Duplex (2 units, any combination)","3 beds, 2 baths","1,616 sqft","6,554 sqft",1922.0,5446011016,1110748574,Los Angeles,JEFFRIES AVE TR,2.0,185320.0,16,LARD2,08/02/1999,,"$755,000",https://www.realtytrac.com/property/ca/los-angeles/90065/2612-jeffries-ave/44890881/,LARD2
34.386142,-118.53301699999999,24811 Railroad Ave,"Store, Retail Outlet ",,"14,971 sqft",1.01 acres,1964.0,2855013044,1110748673,Los Angeles,5844,3.0,920336.0,91,SCCC,09/16/2020,"$2,000,000",,https://www.realtytrac.com/property/ca/newhall/91321/24811-railroad-ave/142773308/,SCCC
34.072198,-118.039791,3503 Lexington Ave,Store/Office (mixed use),,999 sqft,"7,196 sqft",1909.0,8579003019,1110749214,Los Angeles,77,2.0,432700.0,24,EMC2*,05/27/1966,,,https://www.realtytrac.com/property/ca/el-monte/91731/3503-lexington-ave/154982863/,EMC2*
34.666467,-118.07453799999999,3068 Justin Ct,Single Family Residence,"3 beds, 2 baths","2,209 sqft","7,000 sqft",2010.0,3170064079,1110749978,Los Angeles,49864-06,2.0,900504.0,276,LRA22*,09/16/2020,"$368,000","$369,000",https://www.realtytrac.com/property/ca/lancaster/93535/3068-justin-ct/150699222/,LRA22*
34.104572,-118.24418600000001,3026 N North Coolidge Ave,Single Family Residence,"2 beds, 4 baths","1,678 sqft","5,499 sqft",2020.0,5442022038,1110750532,Los Angeles,5485,1.0,187200.0,3,LACM,09/18/2020,"$820,000","$850,000",https://www.realtytrac.com/property/ca/los-angeles/90039/3026-n-north-coolidge-ave/154749189/,LACM
34.082283000000004,-118.182022,4750 Templeton St # 1222,Condominium,"2 beds, 3 baths","1,340 sqft",0.65 acres,1995.0,5213032063,1110753892,Los Angeles,50665,1.0,201401.0,1,LAR3,09/16/2020,"$469,000","$456,000",https://www.realtytrac.com/property/ca/los-angeles/90032/4750-templeton-st-1222/612419/,LAR3
34.105105,-118.313404,1860 N Wilton Pl,"Duplex (2 units, any combination)","6 beds, 2 baths","3,044 sqft","4,913 sqft",1920.0,5544002042,1110722585,Los Angeles,MORGANS HOLLYWOOD TR,2.0,190301.0,28,LARD1.5,09/16/2020,"$1,075,000","$1,343,000",https://www.realtytrac.com/property/ca/los-angeles/90028/1860-n-wilton-pl/148937828/,LARD1.5
34.156609,-118.444993,4719 Tyrone Ave,Single Family Residence,"3 beds, 2 baths","1,754 sqft","8,859 sqft",1955.0,2248002015,1110723353,Los Angeles,8294,3.0,128702.0,16,LAR1,09/16/2020,"$1,222,500","$1,213,000",https://www.realtytrac.com/property/ca/sherman-oaks/91423/4719-tyrone-ave/51954059/,LAR1
34.188728999999995,-118.560529,19608 Hamlin St,Single Family Residence,"3 beds, 2 baths","1,377 sqft","6,616 sqft",1956.0,2132012023,1110723369,Los Angeles,20652,1.0,134901.0,77,LAR1,09/16/2020,"$715,000","$629,000",https://www.realtytrac.com/property/ca/reseda/91335/19608-hamlin-st/45951425/,LAR1
33.939721999999996,-118.029544,10241 Victoria Ave,Single Family Residence,"4 beds, 2 baths","1,676 sqft","7,933 sqft",1950.0,8156019001,1110725154,Los Angeles,15017,1.0,503202.0,22,LCR1*,09/16/2020,"$661,000","$624,000",https://www.realtytrac.com/property/ca/whittier/90604/10241-victoria-ave/154719810/,LCR1*
33.974862,-118.303477,1531 W Florence Ave,"Warehouse, Storage",,"2,490 sqft","3,212 sqft",1980.0,6015034023,1110726496,Los Angeles,4580,3.0,237402.0,288,LAC2,09/16/2020,"$540,000",,https://www.realtytrac.com/property/ca/los-angeles/90047/1531-w-florence-ave/16533009/,LAC2
33.945856,-118.21803100000001,3020 Nebraska Ave,"Duplex (2 units, any combination)","2 beds, 2 baths","1,908 sqft","5,035 sqft",1948.0,6206011012,1110727008,Los Angeles,4753,2.0,535605.0,111,SGCM-R4*,09/16/2020,"$1,775,000","$572,000",https://www.realtytrac.com/property/ca/south-gate/90280/3020-nebraska-ave/54808211/,SGCM-R4*
34.626538000000004,-118.318747,10620 Elizabeth Lake Rd,Single Family Residence,"5 beds, 7 baths","5,624 sqft",9.17 acres,2005.0,3215004023,1110727057,Los Angeles,,1.0,901213.0,,LCA22*,09/16/2020,"$1,050,000",,https://www.realtytrac.com/property/ca/leona-valley/93551/10620-elizabeth-lake-rd/142451441/,LCA22*
34.159766999999995,-118.01154,426 Highland Pl,Single Family Residence,"3 beds, 2 baths","1,282 sqft","6,057 sqft",1930.0,8503017025,1110727063,Los Angeles,8569,3.0,430301.0,15,MORF*,07/18/2006,,"$938,000",https://www.realtytrac.com/property/ca/monrovia/91016/426-highland-pl/154973522/,MORF*
