latitude,longitude,address,property_type,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school_quality,url,bedrooms,bathrooms
34.047481,-118.249004,460 S Spring St # 903,Condominium,710.0,3092760.0,1912.0,5149023152.0,1114327557.0,Los Angeles,63018,2.0,207302.0,1,LAC4,2020-12-31,535000.0,600500.0,133.0,Slightly High,14.0,1.0,Average,https://www.realtytrac.com/property/ca/los-angeles/90013/460-s-spring-st-903/149763372/,1.0,1.0
34.219587,-118.374504,11157 Cantara St,Single Family Residence,864.0,6504.0,1953.0,2314004013.0,1114327614.0,Los Angeles,4221,3.0,122122.0,63,LAR1,2020-12-31,530000.0,517500.0,6.0,Low,17.0,1.0,Average,https://www.realtytrac.com/property/ca/sun-valley/91352/11157-cantara-st/51967031/,1.0,1.0
34.161291999999996,-118.504621,17034 Addison St,Single Family Residence,3256.0,5626.0,1978.0,2258014029.0,1114328048.0,Los Angeles,32582,2.0,139600.0,6,LAR1,2020-12-31,1580000.0,1734000.0,0.0,,5.0,1.0,Above Average,https://www.realtytrac.com/property/ca/encino/91316/17034-addison-st/154401715/,5.0,5.0
33.938931,-118.35408799999999,10725 Burin Ave,Residential - Vacant Land,,5913.0,,4036019015.0,1114328115.0,Los Angeles,288,2.0,601802.0,29,LCR3PY,1984-12-21,45000.0,707000.0,13.0,Moderately High,8.0,1.0,Average,https://www.realtytrac.com/property/ca/inglewood/90304/10725-burin-ave/154485257/,,
34.256855,-118.521423,10220 Zelzah Ave # 4,Condominium,1390.0,37330920.0,1976.0,2734001022.0,1114328134.0,Los Angeles,31961,2.0,111302.0,1,LARD1.5,2020-12-31,520000.0,530000.0,4.0,,7.0,1.0,Above Average,https://www.realtytrac.com/property/ca/northridge/91325/10220-zelzah-ave-4/144394350/,2.0,3.0
34.5293,-117.9632,Vac/113th Ste Nog /vic Avenue,Residential - Vacant Land,,11107800.0,,3079009023.0,1114328443.0,Los Angeles,25161,1.0,0.0,23,LCA11,2020-12-31,12000.0,,0.0,,2.0,1.0,Average,https://www.realtytrac.com/property/ca/sun-village/93543/vac113th-ste-nog-vic-avenue/241234310/,,
34.143046999999996,-118.10011899999999,2434 Oswego St,"Duplex (2 units, any combination)",2013.0,10115.0,1921.0,5747003041.0,1114328456.0,Los Angeles,HUNTINGTON DRIVE #1,4.0,463400.0,19,PSR3,2020-12-31,1400000.0,904400.0,1.0,Moderate,4.0,1.0,Above Average,https://www.realtytrac.com/property/ca/pasadena/91107/2434-oswego-st/24382143/,4.0,2.0
33.918203999999996,-118.20905900000001,12050 Long Beach Blvd,Gas Station,2235.0,4342.0,1961.0,6175017029.0,1114328479.0,Los Angeles,3078,5.0,541700.0,829,LYC2A,2020-12-31,270000.0,,18.0,Slightly High,27.0,2.0,Average,https://www.realtytrac.com/property/ca/lynwood/90262/12050-long-beach-blvd/140364841/,,
33.861270000000005,-118.104704,18624 Kings Row Ave,Single Family Residence,1584.0,5511.0,1967.0,7038010005.0,1114328530.0,Los Angeles,26328,2.0,554521.0,68,CERS5000,2020-12-31,842500.0,844200.0,4.0,Low,5.0,2.0,Excellent,https://www.realtytrac.com/property/ca/cerritos/90703/18624-kings-row-ave/25621082/,3.0,2.0
34.581719,-118.15518700000001,1341 Leopard Ct,Single Family Residence,1924.0,7116.0,1990.0,3004036037.0,1114328964.0,Los Angeles,44842,1.0,910401.0,27,PDR1,2020-12-31,445000.0,451100.0,3.0,Moderate,3.0,1.0,Above Average,https://www.realtytrac.com/property/ca/palmdale/93551/1341-leopard-ct/153194026/,4.0,3.0
