latitude,longitude,home_size,lot_size,zoning,sex_offenders,crime_index,enviornmental_hazards,school_quality,bedrooms,bathrooms,sale_price,date,sale_price_cpi,age,neighborhood
34.597956,-118.178579,2668.0,9241.0,LCA22,4.0,Moderate,2.0,Above Average,5.0,3.0,506000.00000000006,2020-11-25,712.3897558202866,17.0,Missing
34.237902000000005,-118.258685,1212.0,6001.0,GLR1YY,4.0,Low,4.0,Excellent,3.0,2.0,834999.9999999999,2020-11-25,915.1360102212641,62.0,Glendale
33.811712,-118.277384,973.0,5265.0,CARS,9.0,Moderate,12.0,Average,3.0,1.0,560000.0,2020-11-25,749.4392263904903,68.0,Carson
34.554549,-118.069421,1229.0,4898.0,PDRPD15U,6.0,Moderate,2.0,Poor,3.0,2.0,305000.0,2020-11-25,553.0855687899879,36.0,Missing
34.400482000000004,-118.526126,1410.0,6337.0,SCUR2,0.0,Low,6.0,Excellent,3.0,2.0,611999.9999999999,2020-11-25,783.4623273378735,32.0,Santa Clarita
34.199762,-118.227626,2410.0,8034.0,GLR1RY,0.0,Low,8.0,Excellent,3.0,3.0,1240000.0000000002,2020-11-25,1115.201255880239,72.0,Glendale
34.152359000000004,-117.993251,864.0,3681.0,MORM,3.0,Low,5.0,Average,2.0,1.0,715000.0000000001,2020-11-25,846.8284266558277,95.0,Missing
34.049758000000004,-118.101978,1450.0,6652.0,LCR1YY,4.0,Moderate,2.0,Excellent,2.0,2.0,450000.00000000006,2020-11-25,671.8134032545121,82.0,South San Gabriel
34.064364000000005,-118.150326,1522.0,5719.0,ALR1,4.0,Low,4.0,Excellent,3.0,2.0,746000.0,2020-11-25,864.9914625129579,95.0,Alhambra
33.764199,-118.143509,2161.0,6192.0,LBR1N,4.0,Slightly High,4.0,Above Average,3.0,3.0,1400000.0,2020-11-25,1184.96746163426,99.0,Long Beach
34.561577,-118.02243500000002,1645.0,7887.0,PDA21,2.0,Moderate,2.0,Average,4.0,2.0,350000.0,2020-11-25,592.48373081713,27.0,Missing
34.158328000000004,-118.111145,2489.0,8809.0,PSR6,2.0,Moderate,2.0,Average,3.0,3.0,1268000.0,2020-11-25,1127.7219510231682,98.0,Pasadena
33.994189,-117.825191,1600.0,6651.0,LCR18000,0.0,Low,2.0,Excellent,4.0,2.0,644999.9999999999,2020-11-25,804.3077706548578,43.0,Diamond Bar
34.225842,-118.443494,806.0,6000.0,LAR1,6.0,Low,8.0,Average,2.0,1.0,570000.0,2020-11-25,756.1010394145209,72.0,Panorama City
34.45606,-118.532911,1872.0,7127.0,SCUR2,1.0,Low,3.0,Excellent,4.0,3.0,680000.0,2020-11-25,825.8418051080278,32.0,Santa Clarita
