parcel_number,date,price
7237026001,"
1/26/2021                        ","
$792,500                        "
7237026001,"
7/23/2014                        ","
$629,000                        "
7237026001,"
2/29/2008                        ","
$598,000                        "
7237026001,"
7/15/2004                        ","
$602,000                        "
6058016022,"
1/26/2021                        ","
$762,500                        "
6058016022,"
5/8/2012                        ","
$320,000                        "
6058016022,"
8/1/2011                        ","
$180,000                        "
6058016022,"
9/3/1997                        ","
$145,000                        "
4017017042,"
1/26/2021                        ","
$410,000                        "
4017017042,"
9/23/2013                        ","
$175,000                        "
4017017042,"
6/18/2010                        ","
$130,000                        "
4017017042,"
5/24/2006                        ","
$305,000                        "
8622006005,"
1/27/2021                        ","
$480,000                        "
8622006005,"
1/26/2021                        ","
$420,000                        "
8622006005,"
12/6/1999                        ","
$125,000                        "
4181018015,"
7/27/2018                        ","
$2,935,000                        "
4181018015,"
11/29/2016                        ","
$2,550,000                        "
4284012001,"
1/25/2021                        ","
$1,850,000                        "
8659026003,"
1/25/2021                        ","
$1,275,000                        "
8659026003,"
7/16/2012                        ","
$600,000                        "
8659026003,"
4/21/2011                        ","
$600,000                        "
8659026003,"
3/29/1988                        ","
$310,000                        "
6023018018,"
1/25/2021                        ","
$375,000                        "
6023018018,"
2/4/2020                        ","
$340,000                        "
6023018018,"
7/28/2003                        ","
$184,000                        "
6023018018,"
4/16/2002                        ","
$139,000                        "
6023018018,"
6/30/1988                        ","
$91,000                        "
7577002023,"
1/25/2021                        ","
$1,225,000                        "
7577002023,"
4/19/2000                        ","
$469,000                        "
2049038078,"
1/25/2021                        ","
$2,300,000                        "
2049038078,"
12/23/2004                        ","
$2,150,000                        "
2049038078,"
5/12/1998                        ","
$950,000                        "
2049038078,"
8/17/1993                        ","
$885,000                        "
4017004126,"
1/25/2021                        ","
$415,000                        "
4017004126,"
12/13/2001                        ","
$74,000                        "
4017004126,"
1/26/1988                        ","
$82,500                        "
7349021001,"
1/25/2021                        ","
$755,000                        "
7349021001,"
10/22/2020                        ","
$580,000                        "
5838031025,"
1/25/2021                        ","
$965,000                        "
5838031025,"
1/18/2019                        ","
$779,000                        "
5838031025,"
12/11/2003                        ","
                                N/A
                        "
5838031025,"
7/19/2001                        ","
$284,000                        "
5672007036,"
1/25/2021                        ","
$995,000                        "
5672007036,"
7/28/2014                        ","
$699,000                        "
5672007036,"
8/21/2013                        ","
$581,000                        "
5672007036,"
10/29/1999                        ","
$313,000                        "
5672007036,"
6/30/1988                        ","
$294,500                        "
6376016010,"
12/6/2018                        ","
$500,000                        "
6376016010,"
2/25/2004                        ","
                                N/A
                        "
6376016010,"
7/22/1988                        ","
$131,000                        "
4405041030,"
1/25/2021                        ","
$4,950,000                        "
4405041030,"
8/25/2016                        ","
$4,230,000                        "
3227030016,"
1/25/2021                        ","
$330,000                        "
3227030016,"
12/14/1990                        ","
$93,000                        "
6386020022,"
1/25/2021                        ","
$555,000                        "
5719010041,"
9/12/2008                        ","
$1,250,000                        "
5064018022,"
10/6/2020                        ","
$600,000                        "
5064018022,"
11/1/1994                        ","
$92,409                        "
5064018022,"
1/23/1989                        ","
$155,000                        "
5576002026,"
9/12/2003                        ","
                                N/A
                        "
5576002026,"
8/19/2003                        ","
                                N/A
                        "
5576002026,"
8/2/1989                        ","
$585,000                        "
2808005045,"
1/25/2021                        ","
$202,500                        "
2808005045,"
8/29/2014                        ","
$290,000                        "
2808005045,"
12/20/2006                        ","
$368,000                        "
2808005045,"
2/25/2004                        ","
$285,000                        "
2808005045,"
9/21/2001                        ","
$165,000                        "
4264006001,"
1/25/2021                        ","
$5,350,000                        "
4264006001,"
10/17/2017                        ","
$5,350,000                        "
5446003016,"
1/25/2021                        ","
$695,000                        "
5446003016,"
8/20/2009                        ","
$260,000                        "
5446003016,"
9/15/2005                        ","
$540,000                        "
4348016021,"
12/7/2020                        ","
$6,075,000                        "
4348016021,"
5/10/2007                        ","
$4,300,000                        "
4348016021,"
3/29/2004                        ","
                                N/A
                        "
4348016021,"
9/17/1996                        ","
$850,000                        "
8720003025,"
1/25/2021                        ","
$699,000                        "
8720003025,"
10/17/2011                        ","
$420,000                        "
8720003025,"
11/16/2009                        ","
$395,000                        "
2068007001,"
1/25/2021                        ","
$1,350,000                        "
2068007001,"
2/17/1995                        ","
$325,000                        "
8575024047,"
1/25/2021                        ","
$4,988,000                        "
8575024047,"
12/26/2013                        ","
$2,000,000                        "
8575024047,"
11/8/2011                        ","
$1,800,000                        "
6390023006,"
12/14/2009                        ","
$526,000                        "
6390023006,"
7/14/2005                        ","
$840,000                        "
4281029017,"
1/25/2021                        ","
$3,850,000                        "
7439007011,"
1/25/2021                        ","
$785,000                        "
7439007011,"
10/23/1996                        ","
$203,000                        "
8078023116,"
1/25/2021                        ","
$600,000                        "
8078023116,"
3/27/2018                        ","
$522,500                        "
2842008046,"
1/25/2021                        ","
$622,000                        "
2842008046,"
7/9/2004                        ","
$131,000                        "
2842008046,"
5/20/1988                        ","
$142,000                        "
3023036052,"
1/25/2021                        ","
$320,000                        "
3023036052,"
1/14/2000                        ","
$68,000                        "
8170022001,"
1/25/2021                        ","
$560,000                        "
8170022001,"
6/29/2016                        ","
$410,000                        "
8170022001,"
3/11/2011                        ","
$230,000                        "
8170022001,"
5/24/2004                        ","
$337,000                        "
6319015012,"
1/25/2021                        ","
$795,000                        "
6319015012,"
2/10/2012                        ","
$441,000                        "
7561042009,"
1/25/2021                        ","
$1,452,500                        "
7561042009,"
12/8/2017                        ","
$1,060,000                        "
2350004057,"
1/25/2021                        ","
$640,000                        "
2350004057,"
10/17/1996                        ","
                                N/A
                        "
2350004057,"
12/14/1992                        ","
                                N/A
                        "
2350004057,"
5/6/1988                        ","
$114,000                        "
5550019096,"
1/25/2021                        ","
$850,000                        "
5550019096,"
3/5/2012                        ","
$610,000                        "
5550019096,"
3/4/2009                        ","
$630,000                        "
2367001073,"
1/25/2021                        ","
$487,500                        "
2367001073,"
1/25/2021                        ","
$487,500                        "
8005006020,"
1/25/2021                        ","
$437,500                        "
2864004179,"
1/25/2021                        ","
$390,000                        "
2864004179,"
6/15/2007                        ","
$318,500                        "
6103005066,"
1/25/2021                        ","
$420,000                        "
6103005066,"
12/23/2011                        ","
$180,000                        "
6103005066,"
6/23/2006                        ","
$370,000                        "
6103005066,"
6/1/2004                        ","
                                N/A
                        "
6103005066,"
3/24/2003                        ","
$170,000                        "
6103005066,"
9/19/1991                        ","
$144,000                        "
2849042101,"
1/25/2021                        ","
$630,000                        "
2476003010,"
1/25/2021                        ","
$865,000                        "
2546001062,"
1/25/2021                        ","
$555,000                        "
2546001062,"
3/24/2003                        ","
$225,000                        "
3111018005,"
1/25/2021                        ","
$80,000                        "
2625039010,"
1/25/2021                        ","
$631,500                        "
8482035032,"
1/25/2021                        ","
$1,050,000                        "
8212010011,"
1/25/2021                        ","
$520,000                        "
8212010011,"
1/11/2016                        ","
$400,000                        "
7273016028,"
1/25/2021                        ","
$425,000                        "
7273016028,"
4/29/2016                        ","
$342,000                        "
7273016028,"
1/21/2010                        ","
$205,000                        "
7273016028,"
11/21/2006                        ","
$377,000                        "
7273016028,"
6/9/2006                        ","
$264,000                        "
8020022002,"
1/25/2021                        ","
$575,000                        "
8520001010,"
1/25/2021                        ","
$1,380,000                        "
8520001010,"
4/20/2005                        ","
$755,000                        "
7110016026,"
1/25/2021                        ","
$605,000                        "
7110016026,"
9/17/1999                        ","
$150,000                        "
5663041085,"
1/25/2021                        ","
$1,401,000                        "
5663041085,"
6/30/1989                        ","
$25,110,000                        "
6015001012,"
1/25/2021                        ","
$460,000                        "
6015001012,"
6/5/2015                        ","
$270,500                        "
6015001012,"
6/5/2015                        ","
$270,500                        "
6015001012,"
1/12/2015                        ","
$257,500                        "
6015001012,"
7/6/2006                        ","
$425,000                        "
3019052014,"
1/25/2021                        ","
$299,000                        "
3019052014,"
6/14/2004                        ","
$263,500                        "
8359005003,"
1/25/2021                        ","
$745,000                        "
8359005003,"
6/28/1990                        ","
$150,000                        "
8359005003,"
9/28/1988                        ","
$201,500                        "
2358019006,"
1/25/2021                        ","
$1,800,000                        "
2358019006,"
8/28/2018                        ","
$888,000                        "
3235033006,"
1/25/2021                        ","
$435,000                        "
3235033006,"
5/10/1990                        ","
$215,000                        "
2837018009,"
1/25/2021                        ","
$685,000                        "
2837018009,"
7/31/2001                        ","
$278,000                        "
6142001044,"
1/25/2021                        ","
$445,000                        "
6142001044,"
8/14/2015                        ","
$280,000                        "
6142001044,"
4/11/2013                        ","
$130,000                        "
6142001044,"
12/9/2005                        ","
$132,000                        "
5771008005,"
1/25/2021                        ","
$1,350,000                        "
7575011048,"
11/7/1995                        ","
$610,000                        "
7575011048,"
7/19/1991                        ","
$750,000                        "
7540025012,"
1/25/2021                        ","
$2,150,000                        "
7540025012,"
3/27/2018                        ","
$1,600,000                        "
7540025012,"
10/30/2001                        ","
$930,000                        "
7540025012,"
10/1/1993                        ","
$562,500                        "
8064046057,"
1/25/2021                        ","
$380,000                        "
8064046057,"
7/6/2000                        ","
$102,000                        "
8064046057,"
2/10/2000                        ","
$6,416                        "
8064046057,"
2/2/1998                        ","
$83,000                        "
8064046057,"
7/8/1997                        ","
$67,000                        "
8064046057,"
4/16/1992                        ","
$115,000                        "
7137003002,"
1/25/2021                        ","
$720,000                        "
7137003002,"
3/26/2013                        ","
$395,000                        "
7137003002,"
3/19/2004                        ","
$480,000                        "
2802015028,"
1/25/2021                        ","
$565,000                        "
2802015028,"
10/10/2018                        ","
$465,000                        "
2802015028,"
9/13/2016                        ","
$430,000                        "
2802015028,"
2/28/2014                        ","
$357,000                        "
2802015028,"
4/14/2011                        ","
$282,000                        "
2802015028,"
7/30/2010                        ","
$232,000                        "
2802015028,"
7/8/2005                        ","
$430,000                        "
2802015028,"
8/15/1997                        ","
$116,000                        "
2802015028,"
6/3/1997                        ","
$72,500                        "
2802015028,"
2/26/1993                        ","
$142,000                        "
3129007014,"
2/16/1996                        ","
$126,500                        "
8740018047,"
1/25/2021                        ","
$628,000                        "
5271019065,"
1/25/2021                        ","
$631,000                        "
5271019065,"
5/1/1989                        ","
$235,000                        "
6287013001,"
7/12/2000                        ","
$263,000                        "
6287013001,"
9/20/1989                        ","
$285,000                        "
7058028104,"
1/25/2021                        ","
$335,000                        "
7058028104,"
4/24/2020                        ","
$320,000                        "
7058028104,"
3/8/2019                        ","
$285,000                        "
7058028104,"
5/1/2000                        ","
$75,000                        "
7058028104,"
12/30/1988                        ","
$81,000                        "
4239009020,"
1/25/2021                        ","
$300,000                        "
3006017026,"
1/25/2021                        ","
$355,000                        "
3006017026,"
4/8/2003                        ","
$105,000                        "
5718007003,"
1/25/2021                        ","
$1,975,000                        "
2039009032,"
1/25/2021                        ","
$1,580,000                        "
2039009032,"
12/4/2014                        ","
$1,115,000                        "
2039009032,"
6/4/2013                        ","
$775,500                        "
8006023012,"
1/25/2021                        ","
$420,000                        "
8006023012,"
10/19/2004                        ","
$312,000                        "
8006023012,"
1/25/1999                        ","
$139,000                        "
4038011003,"
1/25/2021                        ","
$702,000                        "
2034019035,"
1/25/2021                        ","
$845,500                        "
2034019035,"
4/14/1993                        ","
$187,000                        "
5614015037,"
1/25/2021                        ","
$998,000                        "
5614015037,"
1/30/2018                        ","
$850,000                        "
5614015037,"
11/2/2016                        ","
$742,500                        "
5614015037,"
9/13/2007                        ","
$600,000                        "
5614015037,"
12/28/2005                        ","
$710,000                        "
5614015037,"
3/12/2004                        ","
$504,000                        "
5029014006,"
1/25/2021                        ","
$1,310,000                        "
5029014006,"
12/23/2004                        ","
$455,000                        "
2151035022,"
1/25/2021                        ","
$746,000                        "
6021011009,"
1/25/2021                        ","
$410,000                        "
6021011009,"
9/29/2006                        ","
$375,000                        "
3086007002,"
10/2/2020                        ","
$25,000                        "
3086007002,"
1/15/2003                        ","
$16,000                        "
3086007002,"
8/2/1989                        ","
$8,000                        "
3071011001,"
1/25/2021                        ","
$17,000                        "
3071011001,"
9/23/2016                        ","
$20,000                        "
3071011001,"
9/8/2014                        ","
$4,000                        "
3071011001,"
7/30/2014                        ","
$4,000                        "
7137003039,"
1/25/2021                        ","
$708,000                        "
7137003039,"
9/5/2018                        ","
$580,000                        "
8339010011,"
1/25/2021                        ","
$550,000                        "
8339010011,"
12/16/2013                        ","
$386,500                        "
8339010011,"
8/31/1988                        ","
$108,000                        "
2206007040,"
1/25/2021                        ","
$2,015,000                        "
2206007040,"
8/31/2007                        ","
$660,000                        "
2206007040,"
8/31/2007                        ","
$1,320,000                        "
2206007040,"
11/28/2006                        ","
$925,000                        "
8381026016,"
1/25/2021                        ","
$780,000                        "
8381026016,"
6/23/2004                        ","
$375,000                        "
8381026016,"
6/16/2004                        ","
$322,000                        "
8381026016,"
9/29/2000                        ","
$170,000                        "
8381026016,"
6/30/1995                        ","
$139,500                        "
5841010016,"
1/25/2021                        ","
$1,200,000                        "
5841010016,"
8/5/2013                        ","
$568,000                        "
5841010016,"
12/24/1998                        ","
$181,000                        "
5841010016,"
8/24/1998                        ","
$130,000                        "
5841010016,"
9/11/1995                        ","
$682,000                        "
5841010016,"
10/10/1991                        ","
$185,000                        "
5684006007,"
1/25/2021                        ","
$995,000                        "
5684006007,"
11/26/2014                        ","
$640,000                        "
5684006007,"
5/7/2014                        ","
$610,000                        "
5684006007,"
2/14/2008                        ","
$525,000                        "
5684006007,"
8/21/1998                        ","
$185,000                        "
5580013012,"
1/25/2021                        ","
$2,850,000                        "
5580013012,"
9/19/2016                        ","
$2,500,000                        "
5580013012,"
12/22/2010                        ","
$1,140,000                        "
5580013012,"
5/17/2005                        ","
$1,257,510                        "
5580013012,"
5/26/2000                        ","
$630,000                        "
6342028002,"
1/25/2021                        ","
$360,000                        "
5225015023,"
1/25/2021                        ","
$600,000                        "
5225015023,"
12/19/2013                        ","
$305,000                        "
8207003234,"
6/23/2006                        ","
$362,000                        "
8207003234,"
7/6/1990                        ","
$1,000                        "
6203005023,"
1/25/2021                        ","
$455,000                        "
6203005023,"
11/1/2004                        ","
$350,000                        "
6203005023,"
7/3/1996                        ","
$126,000                        "
6203005023,"
7/3/1996                        ","
$125,000                        "
5085011014,"
1/25/2021                        ","
$1,175,000                        "
5085011014,"
1/25/2021                        ","
$1,199,000                        "
5085011014,"
7/10/2003                        ","
$515,000                        "
5611004062,"
1/25/2021                        ","
$899,000                        "
2373018019,"
1/27/2021                        ","
$2,899,000                        "
2373018019,"
8/17/1999                        ","
$650,000                        "
2114003156,"
1/25/2021                        ","
$354,500                        "
2114003156,"
4/2/2003                        ","
$159,000                        "
2114003156,"
9/21/1988                        ","
$112,500                        "
7563006144,"
1/25/2021                        ","
$610,000                        "
7563006144,"
2/22/1996                        ","
$155,000                        "
7406010029,"
1/25/2021                        ","
$665,000                        "
7406010029,"
10/14/2010                        ","
$290,000                        "
7406010029,"
12/10/2009                        ","
$217,000                        "
7406010029,"
9/22/2005                        ","
$410,000                        "
7406010029,"
11/2/2000                        ","
$153,500                        "
7406010029,"
1/3/2000                        ","
$100,000                        "
4336015008,"
1/25/2021                        ","
$2,150,000                        "
4336015008,"
3/30/2011                        ","
$1,074,500                        "
4336015008,"
6/19/2003                        ","
$790,000                        "
4336015008,"
9/26/2002                        ","
$575,000                        "
8304004035,"
1/25/2021                        ","
$835,000                        "
8304004035,"
5/17/2005                        ","
$555,000                        "
2123023081,"
1/25/2021                        ","
$850,000                        "
7537002011,"
1/25/2021                        ","
$2,300,000                        "
7537002011,"
1/2/2015                        ","
$1,650,000                        "
7537002011,"
10/30/2002                        ","
$1,325,000                        "
7537002011,"
8/1/2000                        ","
$990,000                        "
7537002011,"
5/25/2000                        ","
$1,025,000                        "
7537002011,"
2/26/1999                        ","
$900,000                        "
2266013074,"
2/10/2016                        ","
$520,000                        "
8244001003,"
1/25/2021                        ","
$610,000                        "
8244001003,"
4/3/2003                        ","
$42,000                        "
8244001003,"
7/26/2002                        ","
$210,000                        "
2310011023,"
1/25/2021                        ","
$770,000                        "
2310011023,"
8/27/2020                        ","
$563,000                        "
5843020045,"
1/25/2021                        ","
$1,310,000                        "
5843020045,"
10/16/2019                        ","
$1,197,000                        "
5843020045,"
5/1/2003                        ","
$698,000                        "
5843020045,"
3/29/1999                        ","
$440,000                        "
5843020045,"
5/10/1996                        ","
$345,000                        "
3261034008,"
1/25/2021                        ","
$18,000                        "
3052040059,"
1/25/2021                        ","
$375,000                        "
8381030039,"
1/25/2021                        ","
$500,000                        "
8381030039,"
10/7/2013                        ","
$350,000                        "
8381030039,"
4/23/2013                        ","
$250,000                        "
8381030039,"
7/29/2005                        ","
$410,000                        "
6156008027,"
1/25/2021                        ","
$339,000                        "
6156008027,"
11/8/2002                        ","
$148,000                        "
3244176030,"
1/25/2021                        ","
$889,000                        "
3244176030,"
12/21/2011                        ","
$599,000                        "
3244176030,"
11/14/2007                        ","
$709,000                        "
2810091068,"
1/25/2021                        ","
$675,000                        "
2810091068,"
3/26/2014                        ","
$485,000                        "
2810091068,"
12/20/2007                        ","
$500,000                        "
2810091068,"
12/19/2007                        ","
$500,000                        "
2810091068,"
12/14/2007                        ","
$500,000                        "
2810091068,"
7/22/2005                        ","
$633,500                        "
3018023028,"
1/25/2021                        ","
$373,000                        "
3018023028,"
6/2/2017                        ","
$305,000                        "
3018023028,"
1/8/2010                        ","
$140,000                        "
3018023028,"
2/9/2007                        ","
$380,000                        "
3018023028,"
1/11/2006                        ","
$42,000                        "
3018023028,"
11/30/2004                        ","
$125,000                        "
8575024048,"
1/25/2021                        ","
$4,988,000                        "
8575024048,"
12/26/2013                        ","
$2,000,000                        "
8575024048,"
11/8/2011                        ","
$1,800,000                        "
3235033005,"
1/25/2021                        ","
$435,000                        "
3235033005,"
5/10/1990                        ","
$215,000                        "
3235033005,"
6/28/1988                        ","
$150,000                        "
4292009075,"
1/25/2021                        ","
$1,105,000                        "
4292009075,"
7/29/2016                        ","
$820,000                        "
4292009075,"
8/24/1995                        ","
$151,500                        "
4292009075,"
9/21/1989                        ","
$258,000                        "
7532003023,"
1/25/2021                        ","
$1,475,000                        "
7532003023,"
7/18/2018                        ","
$1,200,000                        "
7532003023,"
7/17/2015                        ","
$970,000                        "
7532003023,"
7/17/2015                        ","
$970,000                        "
7532003023,"
3/11/2015                        ","
$745,000                        "
